m,U,num_incident,num_detected
1.261856883066021e-06,1.4174741629268048e-05,606496.8897743202,606559.6218868527
1.261856883066021e-06,1.5199110829529332e-05,650376.6208009735,650089.8642735411
1.261856883066021e-06,1.6297508346206434e-05,697106.3419136477,697576.0423980611
1.261856883066021e-06,1.747528400007683e-05,748105.1506277568,748282.208923415
1.261856883066021e-06,1.873817422860383e-05,801761.8602698776,801904.5828117307
1.261856883066021e-06,2.0092330025650458e-05,860153.0852844567,860443.578164503
1.261856883066021e-06,2.1544346900318867e-05,923486.209946804,922188.3869080341
1.261856883066021e-06,2.310129700083158e-05,988457.2306175588,988380.4920684786
1.261856883066021e-06,2.477076355991714e-05,1059677.5629785573,1060269.827420917
1.261856883066021e-06,2.656087782946684e-05,1137417.0313295245,1138071.5638485248
1.261856883066021e-06,2.8480358684358048e-05,1218689.1789529924,1218185.0788271807
1.261856883066021e-06,3.053855508833412e-05,1308127.7178953993,1307592.3686864371
1.261856883066021e-06,3.274549162877732e-05,1402127.4875777308,1402566.4216572829
1.261856883066021e-06,3.511191734215127e-05,1501787.381436216,1502760.2430094054
1.261856883066021e-06,3.7649358067924715e-05,1610051.7025100172,1610976.3858832952
1.261856883066021e-06,4.037017258596558e-05,1729887.6620419724,1729688.1541457847
1.261856883066021e-06,4.328761281083062e-05,1853911.567591699,1851562.9547580574
1.261856883066021e-06,4.641588833612782e-05,1985833.4977179586,1986993.9924465697
1.261856883066021e-06,4.977023564332114e-05,2127273.9133908907,2132548.190203638
1.261856883066021e-06,5.3366992312063123e-05,2284184.130627236,2284736.63162351
1.261856883066021e-06,5.72236765935022e-05,2447675.494551343,2448279.7704000035
1.261856883066021e-06,6.135907273413175e-05,2625830.386915702,2627432.5113818995
1.261856883066021e-06,6.579332246575683e-05,2816863.960480224,2814441.378592909
1.261856883066021e-06,7.054802310718646e-05,3022387.9335456225,3021003.5808547954
1.261856883066021e-06,7.56463327554629e-05,3241028.648996682,3237059.1981229307
1.261856883066021e-06,8.111308307896872e-05,3468615.077030564,3471313.377201219
1.261856883066021e-06,8.697490026177834e-05,3724104.518951668,3720403.900358077
1.261856883066021e-06,9.326033468832199e-05,3992378.3770922828,3993240.627207698
1.261856883066021e-06,0.0001,4277864.888070757,4277876.304135164
1.261856883066021e-06,0.00010722672220103231,4586510.558442884,4585596.932757993
1.261856883066021e-06,0.00011497569953977356,4920995.522065069,4921618.185500167
1.261856883066021e-06,0.0001232846739442066,5278423.963128687,5269358.335642552
1.261856883066021e-06,0.00013219411484660288,5652046.971826955,5652809.496411119
1.261856883066021e-06,0.00014174741629268049,6064706.920555577,6067423.27280453
1.261856883066021e-06,0.0001519911082952933,6512378.441900384,6512899.610925922
1.261856883066021e-06,0.0001629750834620645,6986500.45680168,6970186.8960888805
1.261856883066021e-06,0.00017475284000076848,7485378.36229804,7471416.191077873
1.261856883066021e-06,0.0001873817422860385,8024556.527580893,8019019.125789727
1.261856883066021e-06,0.00020092330025650479,8593070.442075508,8591990.482172903
1.261856883066021e-06,0.00021544346900318845,9215145.816390887,9220818.664913211
1.261856883066021e-06,0.00023101297000831605,9884573.578489918,9877625.024535848
1.261856883066021e-06,0.0002477076355991711,10596563.627496256,10598849.268477827
1.261856883066021e-06,0.00026560877829466864,11373948.97544356,11367421.116190981
1.261856883066021e-06,0.0002848035868435802,12188871.34072627,12201705.701743504
1.261856883066021e-06,0.0003053855508833416,13060905.725828173,13074661.083596582
1.261856883066021e-06,0.00032745491628777284,14022475.854127087,14027712.35080572
1.261856883066021e-06,0.0003511191734215131,15015208.349553842,15028907.601543736
1.261856883066021e-06,0.00037649358067924675,16100998.425308522,16109633.260513416
1.261856883066021e-06,0.0004037017258596554,17273849.107744932,17288369.65043406
1.261856883066021e-06,0.0004328761281083057,18519231.657783274,18526634.14512701
1.261856883066021e-06,0.0004641588833612782,19881900.025024924,19884803.365889277
1.261856883066021e-06,0.0004977023564332114,21331695.340763003,21284051.669791896
1.261856883066021e-06,0.0005336699231206312,22820956.347173356,22858329.342847634
1.261856883066021e-06,0.0005722367659350221,24500442.16245423,24486263.355613388
1.261856883066021e-06,0.0006135907273413176,26236324.799215555,26249928.81427143
1.261856883066021e-06,0.0006579332246575682,28176507.59630175,28161787.672356084
1.261856883066021e-06,0.0007054802310718645,30200132.04755522,30159606.37529219
1.261856883066021e-06,0.000756463327554629,32350320.573773563,32414539.650152747
1.261856883066021e-06,0.0008111308307896872,34650861.31248715,34753656.960106425
1.261856883066021e-06,0.0008697490026177834,37256227.2142985,37197134.27740975
1.261856883066021e-06,0.0009326033468832199,39878765.79270087,39957887.37193866
1.261856883066021e-06,0.001,42771079.22803448,42773866.59949168
1.4174741629268049e-06,1e-06,42808.174801054425,42845.99812861755
1.4174741629268049e-06,1.0722672220103232e-06,45881.7971178272,45854.97801007311
1.4174741629268049e-06,1.1497569953977357e-06,49192.045241353284,49224.68258600509
1.4174741629268049e-06,1.232846739442066e-06,52789.87480630153,52771.69284445099
1.4174741629268049e-06,1.3219411484660288e-06,56577.298538049676,56585.60040781105
1.4174741629268049e-06,1.4174741629268049e-06,60696.00558304717,60687.20338318079
1.4174741629268049e-06,1.519911082952933e-06,65148.26621132367,65080.38214682921
1.4174741629268049e-06,1.6297508346206435e-06,69825.61792423528,69757.4877506912
1.4174741629268049e-06,1.747528400007683e-06,74790.39229275633,74788.97645818052
1.4174741629268049e-06,1.873817422860383e-06,80115.51253341051,80282.13049785479
1.4174741629268049e-06,2.0092330025650458e-06,85973.06862839077,86029.52667176879
1.4174741629268049e-06,2.1544346900318822e-06,92135.30351966417,92257.62831216252
1.4174741629268049e-06,2.310129700083158e-06,98750.68316499043,98878.06794548768
1.4174741629268049e-06,2.477076355991709e-06,105970.16224750793,105937.07661209645
1.4174741629268049e-06,2.656087782946684e-06,113829.19150096152,113602.10336060995
1.4174741629268049e-06,2.848035868435805e-06,121942.38996201914,121967.12117736436
1.4174741629268049e-06,3.0538555088334123e-06,130679.61679890806,130711.57455558893
1.4174741629268049e-06,3.2745491628777315e-06,140178.69767258858,140015.09771723446
1.4174741629268049e-06,3.5111917342151275e-06,150310.48306178694,150342.9462251207
1.4174741629268049e-06,3.764935806792471e-06,161058.86693711352,161059.29958682667
1.4174741629268049e-06,4.037017258596558e-06,172679.17323341695,172644.7766854371
1.4174741629268049e-06,4.328761281083061e-06,185272.32491658512,185295.77142083723
1.4174741629268049e-06,4.641588833612782e-06,198758.26918049288,198401.68819922197
1.4174741629268049e-06,4.977023564332114e-06,212864.81027912456,212871.84570758438
1.4174741629268049e-06,5.336699231206313e-06,228278.033024777,228526.13830287167
1.4174741629268049e-06,5.72236765935022e-06,245035.4532861243,245272.20526449085
1.4174741629268049e-06,6.1359072734131755e-06,262886.9301348759,262365.8922977654
1.4174741629268049e-06,6.579332246575683e-06,281798.8695590013,281343.47367433127
1.4174741629268049e-06,7.0548023107186455e-06,302079.1158559284,302057.18228579476
1.4174741629268049e-06,7.564633275546291e-06,323846.7487457912,323686.9318548174
1.4174741629268049e-06,8.111308307896873e-06,347324.86257308465,347288.8639519819
1.4174741629268049e-06,8.697490026177835e-06,372152.8372976204,372094.94098867074
1.4174741629268049e-06,9.3260334688322e-06,398843.9908532513,399153.3618917446
1.4174741629268049e-06,1e-05,427824.2112322786,428277.48417586146
1.4174741629268049e-06,1.072267222010323e-05,458914.6554971647,459550.815402044
1.4174741629268049e-06,1.1497569953977357e-05,491748.1541385642,492220.58092906664
1.4174741629268049e-06,1.2328467394420658e-05,528108.1047589775,528425.665101554
1.4174741629268049e-06,1.3219411484660286e-05,565348.4166645794,566296.1395730311
1.4174741629268049e-06,1.4174741629268048e-05,605687.3390361678,607787.2452415989
1.4174741629268049e-06,1.5199110829529332e-05,650681.1336156521,650715.6323030803
1.4174741629268049e-06,1.6297508346206434e-05,697444.8064677053,697897.9881302135
1.4174741629268049e-06,1.747528400007683e-05,747262.6320516986,747950.9107880377
1.4174741629268049e-06,1.873817422860383e-05,802194.9265974454,801430.8059725807
1.4174741629268049e-06,2.0092330025650458e-05,858913.2581486253,860060.5702578337
1.4174741629268049e-06,2.1544346900318867e-05,921395.9982814539,922555.4807657184
1.4174741629268049e-06,2.310129700083158e-05,987289.0640399754,987534.3013387964
1.4174741629268049e-06,2.477076355991714e-05,1060359.5653110414,1060242.2353816961
1.4174741629268049e-06,2.656087782946684e-05,1136992.3967328346,1137576.41233223
1.4174741629268049e-06,2.8480358684358048e-05,1218547.1573483215,1220603.7950988663
1.4174741629268049e-06,3.053855508833412e-05,1306632.4337750836,1307214.316844505
1.4174741629268049e-06,3.274549162877732e-05,1402895.0775605151,1401576.2684653034
1.4174741629268049e-06,3.511191734215127e-05,1501212.7125042698,1503063.9307958044
1.4174741629268049e-06,3.7649358067924715e-05,1610279.1833209894,1611111.244358107
1.4174741629268049e-06,4.037017258596558e-05,1728513.621305616,1730118.025563105
1.4174741629268049e-06,4.328761281083062e-05,1851652.8788588704,1851366.540345907
1.4174741629268049e-06,4.641588833612782e-05,1987912.477133112,1986087.9582969344
1.4174741629268049e-06,4.977023564332114e-05,2131628.5668298015,2130992.6269213404
1.4174741629268049e-06,5.3366992312063123e-05,2284428.8826061715,2285623.3398356303
1.4174741629268049e-06,5.72236765935022e-05,2447928.395758587,2451217.164070318
1.4174741629268049e-06,6.135907273413175e-05,2630362.199599104,2630709.0613414748
1.4174741629268049e-06,6.579332246575683e-05,2819664.9530423363,2815896.864748053
1.4174741629268049e-06,7.054802310718646e-05,3017512.029751651,3019813.30440525
1.4174741629268049e-06,7.56463327554629e-05,3233174.5589060425,3241444.7143121692
1.4174741629268049e-06,8.111308307896872e-05,3470926.997192983,3473823.2221036167
1.4174741629268049e-06,8.697490026177834e-05,3719735.3079510345,3725763.723725624
1.4174741629268049e-06,9.326033468832199e-05,3988696.083196134,3993222.614998807
1.4174741629268049e-06,0.0001,4275244.412253341,4276367.133499957
1.4174741629268049e-06,0.00010722672220103231,4594778.902492788,4586850.674484257
1.4174741629268049e-06,0.00011497569953977356,4924606.383765048,4923689.75079059
1.4174741629268049e-06,0.0001232846739442066,5277100.167351636,5274879.131491855
1.4174741629268049e-06,0.00013219411484660288,5658152.079355837,5649933.968439492
1.4174741629268049e-06,0.00014174741629268049,6068060.142684183,6069370.686190604
1.4174741629268049e-06,0.0001519911082952933,6501974.254749741,6501991.829052348
1.4174741629268049e-06,0.0001629750834620645,6972727.637575843,6972260.958107071
1.4174741629268049e-06,0.00017475284000076848,7480516.001417223,7484181.207966521
1.4174741629268049e-06,0.0001873817422860385,8020042.930446989,8010679.117688489
1.4174741629268049e-06,0.00020092330025650479,8592205.331663562,8589981.881812967
1.4174741629268049e-06,0.00021544346900318845,9215629.330833416,9222300.373427527
